skill_raw;skill_normalized;domain;field;type_of_skill
men's RTW experience;Clothing Industry Process;Clothing, Sales;Clothing;Hard, Soft
physical labor;Physical Endurance and Skills;General;General;Hard, Soft
logistics network planning;Network Building;General, Marketing;Communication, General;Hard, Soft
NVQ3 qualified;Well Educated;Schooling;General;Hard, Soft
floor management;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
brand activations;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
risk governance reporting;Risk Management;Operations;Operations;Hard
battery modules;Energy Management;Sustainability;Environment, Sustainability;Hard
navigation skills;Operations Management;Operations;Operations;Hard, Soft
french communication;French;General;General, Languages;Soft
investment analysis;Cost Analysis;Accounting, Finance, Operations;Operations;Hard, Soft
color theory;Advertising;Marketing;Marketing;Hard, Soft
consumer insights;Consumer Behavior Analysis;SEO, CRO, Design, UX;Marketing, Design;Hard
P&IDs;Structural Engineering;Structural Engineering;Engineering;Hard
interpreting;Translation;General;General;Hard, Soft
digital supply chain;Supply Chain Management;Supply Chain, Operations, Logistics;Supply Chain, Logistics;Hard
cash operations;Accounting;Accounting, Finance, Operations;General, Legal;Hard
rigging;Rigid Vehicles;Automotives;Automotives;Hard
smart working;Flexibility;General;General;Soft
financial controls;Financial Analysis;Data Analytics, Finance;IT, Statistics, Finance;Hard
business management degree;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
Thai language proficiency;Thai;General;General, Languages;Soft
corporate policies and procedures;Corporate Governance;Operations, Legal;Operations, Legal;Hard, Soft
food fraud mitigation;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
suggestive selling;Sales;Sales;Sales;Hard, Soft
human resources management;HR;HR;General;Hard
account administration;Account Management;Account Management;General;Hard, Soft
corporate operations;Corporate Governance;Operations, Legal;Operations, Legal;Hard, Soft
people empowerment;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
supervised learning;Machine Learning;Data Science, Data Analytics;IT, Statistics;Hard
client interaction;Communication;General;Communication;Soft
Knowledge of electricity costs and grid congestion;Energy Management;Sustainability;Environment, Sustainability;Hard
written and verbal communication skills;Communication;General;Communication;Soft
inventory;Inventory Management;General, Logistics;Logistics, Sales;Hard
order management;Process Management;Operations;General;Hard, Soft
facility management and reporting systems proficiency;Reporting;General;General;Hard, Soft
change promotion;Change Management;Operations, HR;HR, General;Hard, Soft
deviation recording;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
clean electrification;Electrical Wiring;Electronics, Electrical Wiring;Electronics;Hard
system development life cycle;Project Management;Project Management;General;Hard
oil and gas;Oil and Gas Management;Biochemistry, Sustainability;Environment, Sustainability, Automotives;Hard
sales/account planning;Accounting;Accounting, Finance, Operations;General, Legal;Hard
financial control;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
employee relations matters;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
City and guilds qualified;Well Educated;Schooling;General;Hard, Soft
product promotions;Advertising;Marketing;Marketing;Hard, Soft
LinkedIn;Social Media Marketing;Marketing;Marketing;Hard, Soft
compliance inspection;Regulatory Compliance Law;Legal;General, Legal;Hard
on-premises servers;On-Premises Servers;Data Analytics, Data Science, Software Engineering, Data Engineering;IT;Hard
eLearning training;Test-Driven Development;Computer Science, DevOps, Software Engineering, QA;IT;Hard
rapid prototyping;Product Development;Design, Product Management, Engineering, UX;Design;Hard
problem escalation;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
improvement plans;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
Python knowledge;Python;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
spanish (a plus);Spanish;General;General, Languages;Soft
equipment operation monitoring;Operations Management;Operations;Operations;Hard, Soft
air system;MEP Engineering;Engineering, Construction, Structural Engineering;Engineering;Hard
cleanliness maintenance;Maintenance;General;General;Soft
nfp;Accounting;Accounting, Finance, Operations;General, Legal;Hard
Cantonese;Chinese;General;General, Languages;Soft
proficiency in SAP;SAP;Operations;General;Hard, Soft
client-centric mindset;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
grant writing;Copywriting;SEO, Marketing;Marketing;Hard, Soft
steelwork;Construction;Construction, Civil Engineering;General, Engineering;Hard
digital advertising;Advertising;Marketing;Marketing;Hard, Soft
electricity networks;Energy Management;Sustainability;Environment, Sustainability;Hard
patent matters;Intellectual Property and Copyright Law;Legal;General, Legal;Hard
proof-of-concept activities;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
sustainable energy;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
cross-functional processes;Operations Management;Operations;Operations;Hard, Soft
wind farm operations and maintenance experience;Industrial Engineering;Design, Product Management, Engineering, UX;Design;Hard
strategy consulting knowledge (nice-to-have);Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
litigations;Legal Counseling;Legal;General, Legal;Hard
mba program;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
build automation;Software Development;Software Engineering;IT;Hard
MISO);Energy Management;Sustainability;Environment, Sustainability;Hard
wholesale markets analysis;Market Research;Data Analytics;IT;Hard
display knowledge;Advertising;Marketing;Marketing;Hard, Soft
technical team leader;Leadership;General;Communication;Soft
patent offices;Intellectual Property and Copyright Law;Legal;General, Legal;Hard
performance standards;Performance Analysis;Data Analysis, Marketing;Marketing;Hard, Soft
beauty industry;Beauty Retail and Sales;Cosmetics, Beauty Industry;Beauty Industry;Hard, Soft
industrial markets;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
continuous learner;Result Driven;General;General;Soft
property evaluation;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
design;Graphic Design;Design, Art, Modeling;Design;Hard
epidemiology;Epidemiology;Healthcare, Research, Medical, Biology;Research, Healthcare;Hard
Perth office;International Relations;Communication;Communication;Hard, Soft
material engineering;Materials Engineering;Materials Engineering;Engineering;Hard
knowledge of luxury products;Luxury Management;Design, Marketing, Sales;Marketing;Hard, Soft
cycle count;Inventory Management;General, Logistics;Logistics, Sales;Hard
maintenance instructions;Maintenance;General;General;Soft
QA/QC activities;Quality Control;QA, Computer Science;QA, IT;Hard
information systems;Computer Science;General, Computer Science;IT;Hard
stockroom organization;Product Management;Design, Product Management, Engineering, UX;Design;Hard
service standards;Operations Management;Operations;Operations;Hard, Soft
self-accountability;Accountability;General;General;Soft
emergency procedures;Security Protocols;Operations, Prevention;General;Hard
replenishment;Inventory Management;General, Logistics;Logistics, Sales;Hard
real-time inventory accuracy;Inventory Management;General, Logistics;Logistics, Sales;Hard
resource utilization;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
personal contribution;Proactivity;General;General;Soft
language skills (Italian;Italian;General;General, Languages;Soft
undergraduate degree in progress;Well Educated;Schooling;General;Hard, Soft
lead qualification;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
multilingual skills;Communication;General;Communication;Soft
customer feedback analysis;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
passion;Passionate;General;General;Soft
Chinese Bar;Food and Beverages Management;Food and Beverages;Food Industry;Hard, Soft
Slovenian local labor law;Labor Law Supervision;Legal;Legal;Hard
project management and Agile methodologies knowledge;Project Management;Project Management;General;Hard
fraud prediction;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
business expertise;Entrepreneurship;General;General;Soft
telco organizations;Communication;General;Communication;Soft
luxury hospitality;Hospitality Customer Service;General, Management, Hospitality;Hospitality, General;Hard, Soft
water treatment plant;Water Treatment Plant Maintenance;Sustainability, Operations, Safety;Environment, Sustainability, Operations;Hard
client service techniques;Customer Support;General, Sales;General, Sales;Hard, Soft
process-oriented;Business Process;Sales, Operations;Sales, Operations;Hard, Soft
AFH;Business Administration;Operations;Operations;Hard, Soft
operational research;Research;General;Research;Hard, Soft
commission-based sales;Sales;Sales;Sales;Hard, Soft
visual directives;Communication;General;Communication;Soft
sales driven;Sales;Sales;Sales;Hard, Soft
stock shrinkage;Inventory Management;General, Logistics;Logistics, Sales;Hard
forklift certification;Rigid Vehicles;Automotives;Automotives;Hard
unsupervised learning;Autonomy;General;General;Soft
ServiceNow;ServiceNow;Software Engineering, DevOps;IT;Hard
public interaction;Communication;General;Communication;Soft
passion for sustainability;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
vehicle operation and maintenance;Automotives;General;Automotives, General;Hard
influencer marketing;Social Media Marketing;Marketing;Marketing;Hard, Soft
multitasking skills;Multitasking;General;General;Soft
marketing analysis;Marketing;General, Marketing;General;Soft
dental benefits;Benefits Administration;HR;HR;Hard
diversity recruiting;Diversity and Inclusion Initiatives Training;HR;HR;Soft
Mandarin (advantageous);Chinese;General;General, Languages;Soft
Adobe;Adobe;Design, Art, Modeling;Design;Hard
patenting and secretation procedures;Intellectual Property and Copyright Law;Legal;General, Legal;Hard
requirements gathering;Procurement;General, Operations, Sales;General;Hard, Soft
Bitbucket;Data Science;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
display activities;Advertising;Marketing;Marketing;Hard, Soft
programming languages (MATLAB;Matlab;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
engineering practices;Engineering;Engineering;Design;Hard
REST APIs;REST APIs;Software Engineering;IT;Hard
benchmark analysis;Data Analysis;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
franchise experience (preferred);Business Process;Sales, Operations;Sales, Operations;Hard, Soft
user needs;User Experience Design;Design, Product Management, Engineering, UX;Design;Hard
Thai language proficiency (optional);Thai;General;General, Languages;Soft
shipping and receiving;Operations Management;Operations;Operations;Hard, Soft
autonomy empowerment;Autonomy;General;General;Soft
real-time demand;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
equipment service;PPE Management;Prevention, Safety;Safety, General;Hard, Soft
driver;Driver License Ability;General;Automotives, General;Soft
business/finance background;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
fire suppression systems;Security Protocols;Operations, Prevention;General;Hard
monitoring and evaluation;Reporting;General;General;Hard, Soft
holiday and weekend availability;Flexibility;General;General;Soft
trend spotting;Market Research;Data Analytics;IT;Hard
training skills;Employee Training and Development;General;General;Soft
Tableau experience;Tableau;Data Analytics;IT, Statistics;Hard
temperature control storage;Product Management;Design, Product Management, Engineering, UX;Design;Hard
sustainability topics;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
photovoltaic panels;MEP Engineering;Engineering, Construction, Structural Engineering;Engineering;Hard
competitive activities;Result Driven;General;General;Soft
P&L management;Financial Services;Finance;Finance;Hard
equipment condition reporting;Reporting;General;General;Hard, Soft
revenue;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
client needs;Customer Relationship Management;Customer Relationship Management;Sales, Marketing;Hard
differentiation;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
petty cash management;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
project analysis;Project Management;Project Management;General;Hard
regulatory environment;Workplace Policy Conduct;Legal, Management;General, Legal;Hard, Soft
safety operations;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
chemicals engineering;Chemical Engineering;Engineering;Engineering;Hard
state;Quality Control;QA, Computer Science;QA, IT;Hard
night and weekend work;Flexibility;General;General;Soft
digitalization and innovation;Innovation;Operations, General;IT, Operations;Hard
luxury apparel experience;Luxury Management;Design, Marketing, Sales;Marketing;Hard, Soft
undergraduate program;Well Educated;Schooling;General;Hard, Soft
physical ability to lift and carry items;Physical Endurance and Skills;General;General;Hard, Soft
luxury;Luxury Management;Design, Marketing, Sales;Marketing;Hard, Soft
incentives;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
customer analytics;Data Analytics;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
client outreach;Customer Relationship Management;Customer Relationship Management;Sales, Marketing;Hard
experience with coverage tracking tools and influencer identification platforms;Data Science;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
credit limits;Accounting;Accounting, Finance, Operations;General, Legal;Hard
variance to budget;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
collaborations;Teamwork;General;Communication;Soft
automated handling systems;Innovation;Operations, General;IT, Operations;Hard
test results interpretation;Test-Driven Development;Computer Science, DevOps, Software Engineering, QA;IT;Hard
design/process review;Concept Design;Design, Product Management, Engineering, UX;Design;Hard
omni-channel;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
company policy enforcement;Workplace Policy Conduct;Legal, Management;General, Legal;Hard, Soft
and overtime;Flexibility;General;General;Soft
schematics;Electrical Wiring;Electronics, Electrical Wiring;Electronics;Hard
production yield;Product Management;Design, Product Management, Engineering, UX;Design;Hard
written and oral communication skills;Communication;General;Communication;Soft
onshore well sites;Naval Engineering;Naval Engineering;Engineering;Hard
high-end retail experience;Retail;General;Retail;Soft
data science projects;Data science;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
resourceful;Proactivity;General;General;Soft
KPI management;Performance Marketing;Marketing;Marketing;Hard, Soft
SQL queries;SQL;Data Analytics, Data Science, Software Engineering, Data Engineering;IT;Hard
commercial offers;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
suppliers;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
ecommerce operations;E-Commerce Management;Marketing;Marketing;Hard, Soft
outlet retail;Retail;General;Retail;Soft
Saturdays;Flexibility;General;General;Soft
four big accounting firms;Accounting;Accounting, Finance, Operations;General, Legal;Hard
iso 14001 standard;ISO 14001;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
sustainability strategy;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
Ability to operate levers and handles;Operations Management;Operations;Operations;Hard, Soft
constructive conflict;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
guidelines;Corporate Governance;Operations, Legal;Operations, Legal;Hard, Soft
stream;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
international travel;Traveling;Travel, Operations;General, Travel;Soft
beauty industry experience;Beauty Retail and Sales;Cosmetics, Beauty Industry;Beauty Industry;Hard, Soft
solar manufacturing;MEP Engineering;Engineering, Construction, Structural Engineering;Engineering;Hard
self-awareness;Critical Thinking;General;General;Soft
multicultural;Diversity and Inclusion Initiatives Training;HR;HR;Soft
business analyst;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
matrix environment;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
professional attitude;Good Attitude;General;General;Soft
grid connection process expertise;Web Development;Software Engineering;IT;Hard
employee requests;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
corrective and preventative maintenance;Maintenance;General;General;Soft
category management;Product Management;Design, Product Management, Engineering, UX;Design;Hard
customer feedback;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
ML architectures;Machine Learning;Data Science, Data Analytics;IT, Statistics;Hard
HACCP;Food Safety;Food and Beverages, Safety, Prevention;Food Industry;Hard
technical complexity;Operations Management;Operations;Operations;Hard, Soft
one-on-one;Communication;General;Communication;Soft
estimation;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
ability to operate heavy or commercial truck safely;Rigid Vehicles;Automotives;Automotives;Hard
manual/automatic controls;Driver License Ability;General;Automotives, General;Soft
problem-solving ability;Problem Solving;General;General;Soft
power distribution;Power Engineering;General, Engineering;General, Engineering;Hard
budgetary management;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
food preservation techniques;Food Safety;Food and Beverages, Safety, Prevention;Food Industry;Hard
visualbasic;Communication;General;Communication;Soft
creative problem solving;Problem Solving;General;General;Soft
people enabling;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
mobile;Mobile Devices Development;General;General;Soft
hospitality mindset;Hospitality Customer Service;General, Management, Hospitality;Hospitality, General;Hard, Soft
risk experience;Risk Management;Operations;Operations;Hard
bilingualism (optional);Communication;General;Communication;Soft
balance sheet reconciliations;Accounting;Accounting, Finance, Operations;General, Legal;Hard
Eni;Fuel Distribution and Logistics;Biochemistry, Sustainability;Environment, Sustainability, Automotives;Hard
API;REST APIs;Software Engineering;IT;Hard
competitor monitoring;Market Research;Data Analytics;IT;Hard
arcgis;ArcGIS;Data Analytics, Data Science;IT, Statistics;Hard
luxury retail experience;Luxury Management;Design, Marketing, Sales;Marketing;Hard, Soft
energy management consulting;Energy management;Sustainability;Environment, Sustainability;Hard
long-range business plan;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
technical consulting;Consultancy;General;General;Soft
business management;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
software implementation;Software Development;Software Engineering;IT;Hard
food manufacturing;Food Science;Chemistry, Research, Food;Research;Hard
general site vehicles and equipment operation;Automotives;General;Automotives, General;Hard
executing;Decision Making;General;General;Soft
proficiency in using technical resources;Operations Management;Operations;Operations;Hard, Soft
hazard exposure;Risk Management;Operations;Operations;Hard
project structuring;Project Management;Project Management;General;Hard
data protection/compliance;Data Management;Data Science, Data Analytics, Data Engineering;IT, Statistics;Hard
agile development;Project Management;Project Management;General;Hard
lifting ability;Physical Endurance and Skills;General;General;Hard, Soft
bilingual;Communication;General;Communication;Soft
paid search;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
autonomous work;Autonomy;General;General;Soft
IT architecture;IT Operations & Management;Computer Science, DevOps, Software Engineering;IT;Hard
design sprint;Concept Design;Design, Product Management, Engineering, UX;Design;Hard
information technology integration;IT Operations & Management;Computer Science, DevOps, Software Engineering;IT;Hard
distribution management;Energy Management;Sustainability;Environment, Sustainability;Hard
work instructions;Employee Training and Development;General;General;Soft
stock;Inventory Management;General, Logistics;Logistics, Sales;Hard
company policies adherence;Workplace Policy Conduct;Legal, Management;General, Legal;Hard, Soft
managing grid control rooms;Web Development;Software Engineering;IT;Hard
batch processing;Warehouse Management;Operations;Operations;Hard
international background;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
equipment monitoring;PPE Management;Prevention, Safety;Safety, General;Hard, Soft
knowledge of electrical distribution and control systems;Electrical Wiring;Electronics, Electrical Wiring;Electronics;Hard
steel materials;Materials Management;Materials, Operations, General;Operations, General;Hard, Soft
luxury beauty industry;Beauty Retail and Sales;Cosmetics, Beauty Industry;Beauty Industry;Hard, Soft
operating automatic controls;Operations Management;Operations;Operations;Hard, Soft
following rules and policies;Work Ethic;General;General;Soft
C-level communication;Communication;General;Communication;Soft
cancellation-free;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
non-linear programming;Computer Programming;Computer Science;IT;Hard
employee stock purchase plan;Accounting;Accounting, Finance, Operations;General, Legal;Hard
HSE reporting;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
and PowerPoint;Microsoft PowerPoint;Operations;General;Hard, Soft
FEED;Entrepreneurship;General;General;Soft
sales experience;Sales;Sales;Sales;Hard, Soft
results-driven mindset;Result Driven;General;General;Soft
multilingual skills (Italian;Italian;General;General, Languages;Soft
proficiency in technical resources (CRM;Customer Relationship Management;Customer Relationship Management;Sales, Marketing;Hard
commercial law;Corporate and Business Law;Legal;General, Legal;Hard
proficiency with Microsoft Office programs;Microsoft Office;Operations;General;Hard, Soft
international logistics;Logistics;Logistics;Logistics;Hard, Soft
reviewing design documents;Concept Design;Design, Product Management, Engineering, UX;Design;Hard
distributor and retailer relationships;Marketing Management;Marketing;Marketing;Hard, Soft
pricing indices;Accounting;Accounting, Finance, Operations;General, Legal;Hard
bidding strategies;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
electronics engineering;Electronics;Electronics;Electronics;Hard
ad;Advertising;Marketing;Marketing;Hard, Soft
progress monitoring;Reporting;General;General;Hard, Soft
electronic engineering;Power Engineering;General, Engineering;General, Engineering;Hard
communication technology integration;Communication;General;Communication;Soft
bachelor degree in chemistry;Chemistry;Chemistry, Research;Research;Hard
accounting/finance concepts;Accounting;Accounting, Finance, Operations;General, Legal;Hard
air handling units;MEP Engineering;Engineering, Construction, Structural Engineering;Engineering;Hard
talent review;Talent Acquisition and Recruitment;HR;HR;Hard
multi-skilled;Qualified;General;General;Hard, Soft
tender management;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
sales coordination;Sales;Sales;Sales;Hard, Soft
corporate affairs support;Corporate Finance;Accounting, Finance, Operations;General, Legal, Finance;Hard
portfolio construction;Project Management;Project Management;General;Hard
brand representation;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
safety guidelines;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
organizational ability;Organizational Skills;General;General;Soft
energetic;Good Attitude;General;General;Soft
supporting;Good Attitude;General;General;Soft
synoptic charts interpretation;Meteorology;Meteorology;Meteorology;Hard
DDS meetings;Dentistry;Medicine, Health and Safety;Healthcare;Hard
meeting assigned margin and turnover goals;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
technical evaluation;Product Management;Design, Product Management, Engineering, UX;Design;Hard
Naver brand search;Advertising;Marketing;Marketing;Hard, Soft
mapping of business processes;Business Process;Sales, Operations;Sales, Operations;Hard, Soft
laboratory skills;Biochemistry;Chemistry, Research, Biology;Research;Hard
pressing;Product Management;Design, Product Management, Engineering, UX;Design;Hard
ticket management;Accounting;Accounting, Finance, Operations;General, Legal;Hard
delivery focus;Delivery Process;General, Operations;Automotives, General;Hard
KPI reporting;Performance Marketing;Marketing;Marketing;Hard, Soft
investment committee management;Financial Services;Finance;Finance;Hard
version control systems;Software Development;Software Engineering;IT;Hard
international labour law;Labor Law Supervision;Legal;Legal;Hard
or forecasting;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
Mandarin and Cantonese language skills (preferred);Communication;General;Communication;Soft
interior design;Interior Design;Design, Art;Design;Hard
candidate experience;Experienced;General;General;Hard, Soft
paid training;Training;Sales, Marketing, Operations;General, Sales, Operations;Soft
air conditioning;MEP Engineering;Engineering, Construction, Structural Engineering;Engineering;Hard
follow-up;Accountability;General;General;Soft
employee lifecycle;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
stakeholders management;Economics;Economics;Economics;Hard
safety management systems;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
law enforcement liaison;Federal and State Law;Legal;General, Legal;Hard
business recruitment;New Business;Sales;Sales;Hard, Soft
organic search;Advertising;Marketing;Marketing;Hard, Soft
luxury retail sector;Luxury Management;Design, Marketing, Sales;Marketing;Hard, Soft
project budget and cash flow projections;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
cloud maintenance;Cloud-Computing;Software Engineering, DevOps;IT;Hard
social media data;Social Media Management;Social Media Management;Marketing;Hard, Soft
legal chart documentation;Legal Counseling;Legal;General, Legal;Hard
seismic surveys;Environmental Science;Environment, Research, Sustainability;Environment, Research;Hard, Soft
product flow monitoring;Product Management;Design, Product Management, Engineering, UX;Design;Hard
fixed term contract;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Crystal Reports;Reporting;General;General;Hard, Soft
and clients' needs;Customer Relationship Management;Customer Relationship Management;Sales, Marketing;Hard
brand knowledge;Passionate;General;General;Soft
regional merchandising;Merchandising;Marketing;Marketing;Hard, Soft
stochastic processes;Calculus;Mathematics, Data Science;Research;Hard
project quality administration;Project Management;Project Management;General;Hard
truck loading rules;Rigid Vehicles;Automotives;Automotives;Hard
new launches;Product Management;Design, Product Management, Engineering, UX;Design;Hard
lab samples;Biochemistry;Chemistry, Research, Biology;Research;Hard
trade associations;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
first shift;Flexibility;General;General;Soft
chemicals;Chemistry;Chemistry, Research;Research;Hard
multidisciplinary teams;Teamwork;General;Communication;Soft
luxury fashion industry experience;Luxury Management;Design, Marketing, Sales;Marketing;Hard, Soft
brand passion;Passionate;General;General;Soft
directing traffic;Traffic Directing;General;General, Automotives;Hard, Soft
overtime;Flexibility;General;General;Soft
mastery of retail processes;Retail;General;Retail;Soft
benefits;Benefits Administration;HR;HR;Hard
category thought leadership;Leadership;General;Communication;Soft
new employee evaluation;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
curing technologies;Auditing;General;General;Hard
design culture;User-Centered Design;Design, UX;Design;Hard
analytical problem-solving;Problem Solving;General;General;Soft
transaction reports;Reporting;General;General;Hard, Soft
financial advisory;Financial Services;Finance;Finance;Hard
distributed energy storage;Energy Management;Sustainability;Environment, Sustainability;Hard
high school degree or equivalent;Well Educated;Schooling;General;Hard, Soft
multicultural environments;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
college degree preferred;Well Educated;Schooling;General;Hard, Soft
written;Communication;General;Communication;Soft
DML;Data Manipulation;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Mandarin proficiency;Chinese;General;General, Languages;Soft
database maintenance;Database Administration;Software Engineering, Data Engineering;IT;Hard
SLA monitoring;Legal Counseling;Legal;General, Legal;Hard
sales opportunities;Sales;Sales;Sales;Hard, Soft
shop maintenance;Business Administration;Operations;Operations;Hard, Soft
soldering tools;Manufacturing;Industrial Engineering, General;General, Engineering;Hard
high-level decision making;Decision Making;General;General;Soft
Barcelona;International Relations;Communication;Communication;Hard, Soft
corrective action;Maintenance;General;General;Soft
commercial goals;Entrepreneurship;General;General;Soft
methodology;Project Management;Project Management;General;Hard
sales staff development;Sales;Sales;Sales;Hard, Soft
subcontractors;Business Process;Sales, Operations;Sales, Operations;Hard, Soft
and physical fitness;Physical Endurance and Skills;General;General;Hard, Soft
stock and receiving;Inventory Management;General, Logistics;Logistics, Sales;Hard
front of house;Customer Support;General, Sales;General, Sales;Hard, Soft
in-store execution;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
retail systems proficiency;Retail;General;Retail;Soft
disclosure;Reporting;General;General;Hard, Soft
time series analysis;Statistics;Data Analytics, Data Science, Mathematics, Chemistry, Biology, Research, Physics;Statistics;Hard
annual maintenance tasks;Maintenance;General;General;Soft
electrical test equipment operation;Electronics;Electronics;Electronics;Hard
operational integrity;Operations Management;Operations;Operations;Hard, Soft
pipe system installation;Structural Engineering;Structural Engineering;Engineering;Hard
consulting experience;Consultancy;General;General;Soft
master mariner license;Naval Engineering;Naval Engineering;Engineering;Hard
weather reports;Meteorology;Meteorology;Meteorology;Hard
good practices;Operations Management;Operations;Operations;Hard, Soft
GCSE or equivalent qualification;Well Educated;Schooling;General;Hard, Soft
SQCDME;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
R or Python;R Programming Language;Data Analytics, Data Science;IT, Statistics;Hard
physical movement;Physical Endurance and Skills;General;General;Hard, Soft
eMobility product knowledge;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
Italian Patent Attorney;Intellectual Property and Copyright Law;Legal;General, Legal;Hard
supply chain due diligence;Supply Chain Management;Supply Chain, Operations, Logistics;Supply Chain, Logistics;Hard
adherence to safety standards and regulations;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
impact;Public Relations;General, Marketing;Communication, Marketing;Soft
LP;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
luxury construction;Luxury Management;Design, Marketing, Sales;Marketing;Hard, Soft
reporting tools;Process Management;Operations;General;Hard, Soft
neo4j;Neo4j;Data Science, Data Analytics, Data Engineering;IT, Statistics;Hard
cinema industry experience;Film Producing and Executive Production;Film Industry;Entertainment;Hard
delivery risks;Delivery Process;General, Operations;Automotives, General;Hard
food hygiene;Food Safety;Food and Beverages, Safety, Prevention;Food Industry;Hard
six sigma methodologies;Project Management;Project Management;General;Hard
europebuying manager;Purchase Manager;Sales, Operations, Management;Sales, Operations;Hard, Soft
procedure manuals;Communication;General;Communication;Soft
power plant construction;Power Engineering;General, Engineering;General, Engineering;Hard
social dialogue;Negotiation;Sales;Negotiation, Communication, Sales;Hard, Soft
basic English;English;General;General, Languages;Soft
adherence to safety standards;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
commercial understanding;Sales;Sales;Sales;Hard, Soft
relationships;Interpersonal Skills;General;General;Soft
